"EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","JobInvolvement","PerformanceRating","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance"
1.0,51.0,"No","Travel_Rarely","Sales",6.0,2.0,"Life Sciences","Female",1.0,"Healthcare Representative","Married",131160.0,1.0,11.0,0.0,"1",6.0,1.0,0.0,0.0,3.0,3.0,"3","4","2"
2.0,31.0,"Yes","Travel_Frequently","Research & Development",10.0,1.0,"Life Sciences","Female",1.0,"Research Scientist","Single",41890.0,0.0,23.0,1.0,"6",3.0,5.0,1.0,4.0,2.0,4.0,"3","2","4"
3.0,32.0,"No","Travel_Frequently","Research & Development",17.0,4.0,"Other","Male",4.0,"Sales Executive","Married",193280.0,1.0,15.0,3.0,"5",2.0,5.0,0.0,3.0,3.0,3.0,"2","2","1"
4.0,38.0,"No","Non-Travel","Research & Development",2.0,5.0,"Life Sciences","Male",3.0,"Human Resources","Married",83210.0,3.0,11.0,3.0,"13",5.0,8.0,7.0,5.0,2.0,3.0,"4","4","3"
5.0,32.0,"No","Travel_Rarely","Research & Development",10.0,1.0,"Medical","Male",1.0,"Sales Executive","Single",23420.0,4.0,12.0,2.0,"9",2.0,6.0,0.0,4.0,3.0,3.0,"4","1","3"
6.0,46.0,"No","Travel_Rarely","Research & Development",8.0,3.0,"Life Sciences","Female",4.0,"Research Director","Married",40710.0,3.0,13.0,0.0,"28",5.0,7.0,7.0,7.0,3.0,3.0,"3","2","2"
7.0,28.0,"Yes","Travel_Rarely","Research & Development",11.0,2.0,"Medical","Male",2.0,"Sales Executive","Single",58130.0,2.0,20.0,1.0,"5",2.0,0.0,0.0,0.0,3.0,4.0,"1","3","1"
8.0,29.0,"No","Travel_Rarely","Research & Development",18.0,3.0,"Life Sciences","Male",2.0,"Sales Executive","Married",31430.0,2.0,22.0,3.0,"10",2.0,0.0,0.0,0.0,3.0,4.0,"1","2","3"
9.0,31.0,"No","Travel_Rarely","Research & Development",1.0,3.0,"Life Sciences","Male",3.0,"Laboratory Technician","Married",20440.0,0.0,21.0,0.0,"10",2.0,9.0,7.0,8.0,3.0,4.0,"2","4","3"
10.0,25.0,"No","Non-Travel","Research & Development",7.0,4.0,"Medical","Female",4.0,"Laboratory Technician","Divorced",134640.0,1.0,13.0,1.0,"6",2.0,6.0,1.0,5.0,3.0,3.0,"2","1","3"
11.0,45.0,"No","Travel_Rarely","Research & Development",17.0,2.0,"Medical","Male",2.0,"Laboratory Technician","Married",79910.0,0.0,13.0,2.0,"21",2.0,20.0,4.0,10.0,2.0,3.0,"3","4","3"
12.0,36.0,"No","Travel_Rarely","Research & Development",28.0,1.0,"Life Sciences","Male",1.0,"Laboratory Technician","Married",33770.0,0.0,12.0,2.0,"16",2.0,15.0,10.0,11.0,3.0,3.0,"NA","4","3"
13.0,55.0,"No","Travel_Rarely","Research & Development",14.0,4.0,"Life Sciences","Female",1.0,"Sales Executive","Single",55380.0,0.0,17.0,0.0,"37",2.0,36.0,4.0,13.0,3.0,3.0,"4","1","3"
14.0,47.0,"Yes","Non-Travel","Research & Development",1.0,1.0,"Medical","Male",1.0,"Research Scientist","Married",57620.0,1.0,11.0,2.0,"10",4.0,10.0,9.0,9.0,2.0,3.0,"1","2","2"
15.0,28.0,"No","Travel_Rarely","Research & Development",1.0,3.0,"Life Sciences","Male",1.0,"Manufacturing Director","Married",25920.0,1.0,14.0,0.0,"5",2.0,5.0,0.0,4.0,3.0,3.0,"4","4","2"
16.0,37.0,"No","Travel_Rarely","Research & Development",1.0,3.0,"Life Sciences","Male",2.0,"Healthcare Representative","Married",53460.0,4.0,11.0,0.0,"7",2.0,5.0,0.0,1.0,3.0,3.0,"3","4","4"
17.0,21.0,"No","Travel_Rarely","Research & Development",3.0,2.0,"Life Sciences","Male",1.0,"Laboratory Technician","Single",42130.0,1.0,12.0,3.0,"3",3.0,3.0,1.0,0.0,2.0,3.0,"4","3","4"
18.0,37.0,"No","Non-Travel","Research & Development",1.0,3.0,"Medical","Male",2.0,"Sales Executive","Divorced",41270.0,2.0,13.0,1.0,"15",2.0,5.0,0.0,2.0,3.0,3.0,"1","4","3"
19.0,35.0,"No","Travel_Rarely","Sales",7.0,4.0,"Life Sciences","Male",1.0,"Sales Representative","Divorced",24380.0,7.0,16.0,0.0,"10",5.0,7.0,6.0,2.0,2.0,3.0,"2","2","2"
20.0,38.0,"No","Travel_Rarely","Research & Development",8.0,3.0,"Life Sciences","Female",1.0,"Manager","Divorced",68700.0,1.0,11.0,1.0,"8",5.0,8.0,7.0,7.0,3.0,3.0,"1","1","3"
21.0,26.0,"No","Travel_Frequently","Research & Development",1.0,4.0,"Other","Male",2.0,"Laboratory Technician","Divorced",104470.0,1.0,18.0,0.0,"6",3.0,6.0,1.0,4.0,3.0,3.0,"3","2","1"
22.0,50.0,"No","Travel_Rarely","Sales",8.0,4.0,"Life Sciences","Male",1.0,"Research Scientist","Divorced",96670.0,3.0,23.0,0.0,"28",2.0,10.0,1.0,6.0,2.0,4.0,"1","2","2"
23.0,53.0,"No","Travel_Rarely","Research & Development",11.0,4.0,"Life Sciences","Female",2.0,"Research Scientist","Married",21480.0,3.0,11.0,0.0,"21",2.0,5.0,1.0,3.0,3.0,3.0,"3","3","2"
24.0,42.0,"No","Travel_Rarely","Research & Development",4.0,4.0,"Life Sciences","Male",1.0,"Manufacturing Director","Married",89260.0,1.0,14.0,0.0,"NA",4.0,20.0,11.0,6.0,1.0,3.0,"2","3","3"
25.0,29.0,"No","Travel_Frequently","Research & Development",16.0,4.0,"Medical","Male",1.0,"Laboratory Technician","Single",65130.0,1.0,11.0,1.0,"10",2.0,10.0,0.0,9.0,3.0,3.0,"2","4","2"
26.0,55.0,"No","Travel_Rarely","Research & Development",1.0,4.0,"Other","Female",1.0,"Research Scientist","Married",67990.0,3.0,11.0,0.0,"12",2.0,10.0,0.0,8.0,3.0,3.0,"2","4","3"
27.0,26.0,"No","Travel_Frequently","Research & Development",9.0,3.0,"Life Sciences","Female",1.0,"Manager","Married",162910.0,1.0,22.0,0.0,"5",3.0,5.0,3.0,3.0,3.0,4.0,"1","1","3"
28.0,37.0,"No","Travel_Rarely","Sales",5.0,1.0,"Marketing","Male",1.0,"Research Scientist","Single",27050.0,1.0,11.0,0.0,"17",2.0,17.0,5.0,7.0,3.0,3.0,"4","4","3"
29.0,44.0,"Yes","Travel_Frequently","Research & Development",1.0,2.0,"Medical","Male",2.0,"Research Scientist","Divorced",103330.0,3.0,14.0,1.0,"19",2.0,1.0,0.0,0.0,2.0,3.0,"4","3","1"
30.0,38.0,"No","Travel_Rarely","Sales",2.0,3.0,"Marketing","Female",1.0,"Manager","Divorced",44480.0,9.0,12.0,0.0,"10",3.0,2.0,1.0,2.0,2.0,3.0,"4","4","3"
31.0,26.0,"Yes","Travel_Rarely","Research & Development",4.0,3.0,"Medical","Male",3.0,"Research Scientist","Divorced",68540.0,2.0,11.0,0.0,"5",5.0,3.0,0.0,2.0,2.0,3.0,"1","2","3"
32.0,28.0,"No","Travel_Rarely","Research & Development",7.0,3.0,"Other","Male",1.0,"Human Resources","Single",96370.0,1.0,13.0,0.0,"5",6.0,5.0,0.0,2.0,2.0,3.0,"4","4","3"
33.0,49.0,"No","Travel_Frequently","Research & Development",1.0,1.0,"Medical","Female",2.0,"Research Scientist","Single",35910.0,9.0,13.0,0.0,"22",2.0,3.0,1.0,2.0,3.0,3.0,"3","1","3"
34.0,36.0,"No","Travel_Rarely","Sales",5.0,3.0,"Technical Degree","Male",3.0,"Sales Executive","Single",54050.0,4.0,14.0,0.0,"10",2.0,8.0,7.0,7.0,3.0,3.0,"3","2","3"
35.0,31.0,"No","Travel_Frequently","Research & Development",9.0,4.0,"Medical","Male",1.0,"Sales Executive","Divorced",46840.0,1.0,16.0,1.0,"2",4.0,2.0,2.0,2.0,3.0,3.0,"4","2","2"
36.0,26.0,"Yes","Travel_Rarely","Research & Development",8.0,3.0,"Medical","Male",2.0,"Manager","Single",157870.0,1.0,12.0,2.0,"8",5.0,8.0,7.0,4.0,3.0,3.0,"4","4","3"
37.0,37.0,"No","Travel_Frequently","Sales",9.0,1.0,"Marketing","Male",1.0,"Laboratory Technician","Married",15140.0,1.0,14.0,0.0,"4",3.0,4.0,1.0,2.0,3.0,3.0,"2","4","2"
38.0,42.0,"No","Travel_Frequently","Sales",2.0,2.0,"Marketing","Male",3.0,"Research Director","Married",29560.0,5.0,13.0,0.0,"23",2.0,20.0,4.0,8.0,3.0,3.0,"3","2","4"
39.0,18.0,"Yes","Travel_Rarely","Research & Development",1.0,4.0,"Life Sciences","Male",1.0,"Sales Executive","Single",23350.0,1.0,14.0,2.0,"0",3.0,0.0,0.0,0.0,2.0,3.0,"3","3","3"
40.0,35.0,"No","Travel_Rarely","Sales",20.0,2.0,"Life Sciences","Male",1.0,"Laboratory Technician","Married",51540.0,0.0,19.0,0.0,"12",2.0,11.0,6.0,9.0,2.0,3.0,"3","2","2"
41.0,36.0,"No","Travel_Frequently","Research & Development",8.0,3.0,"Other","Female",3.0,"Sales Executive","Married",69620.0,4.0,12.0,2.0,"4",2.0,1.0,0.0,0.0,2.0,3.0,"3","NA","3"
42.0,51.0,"No","Travel_Rarely","Research & Development",2.0,3.0,"Life Sciences","Male",2.0,"Laboratory Technician","Divorced",56750.0,5.0,13.0,0.0,"13",2.0,4.0,1.0,2.0,2.0,3.0,"4","2","3"
43.0,41.0,"No","Travel_Rarely","Research & Development",29.0,1.0,"Life Sciences","Male",1.0,"Laboratory Technician","Single",23790.0,1.0,12.0,0.0,"22",6.0,22.0,0.0,4.0,3.0,3.0,"4","2","3"
44.0,18.0,"No","Travel_Rarely","Sales",7.0,3.0,"Life Sciences","Male",1.0,"Research Scientist","Single",38120.0,1.0,15.0,0.0,"0",3.0,0.0,0.0,0.0,3.0,3.0,"4","3","3"
45.0,28.0,"No","Travel_Rarely","Research & Development",9.0,3.0,"Medical","Male",1.0,"Sales Representative","Single",46480.0,0.0,23.0,2.0,"9",2.0,8.0,0.0,7.0,2.0,4.0,"2","1","3"
46.0,31.0,"No","Travel_Rarely","Research & Development",8.0,1.0,"Technical Degree","Male",1.0,"Manufacturing Director","Married",29360.0,4.0,12.0,1.0,"10",2.0,8.0,7.0,7.0,3.0,3.0,"2","4","2"
47.0,39.0,"No","Travel_Rarely","Sales",5.0,4.0,"Marketing","Female",2.0,"Human Resources","Divorced",21050.0,0.0,20.0,0.0,"19",3.0,18.0,3.0,7.0,3.0,4.0,"3","4","2"
48.0,36.0,"No","Non-Travel","Research & Development",5.0,4.0,"Life Sciences","Male",1.0,"Sales Executive","Married",85780.0,7.0,21.0,0.0,"11",4.0,9.0,0.0,8.0,3.0,4.0,"2","2","3"
49.0,32.0,"No","Travel_Rarely","Sales",2.0,3.0,"Marketing","Male",2.0,"Laboratory Technician","Married",27060.0,1.0,21.0,1.0,"13",4.0,13.0,4.0,8.0,3.0,4.0,"4","3","2"
50.0,38.0,"No","Travel_Rarely","Research & Development",5.0,2.0,"Life Sciences","Female",3.0,"Research Scientist","Married",63840.0,3.0,19.0,2.0,"19",4.0,10.0,0.0,1.0,2.0,3.0,"1","2","3"
51.0,58.0,"No","Non-Travel","Research & Development",2.0,3.0,"Life Sciences","Male",2.0,"Manufacturing Director","Divorced",39680.0,2.0,13.0,2.0,"12",3.0,5.0,1.0,2.0,2.0,3.0,"4","3","3"
52.0,31.0,"No","Travel_Rarely","Research & Development",20.0,1.0,"Technical Degree","Female",3.0,"Research Scientist","Married",99070.0,0.0,13.0,1.0,"6",3.0,5.0,0.0,3.0,2.0,3.0,"3","4","3"
53.0,31.0,"No","Travel_Rarely","Sales",7.0,4.0,"Marketing","Male",2.0,"Sales Executive","Married",132250.0,3.0,21.0,1.0,"9",2.0,2.0,1.0,0.0,3.0,4.0,"1","1","3"
54.0,45.0,"No","Travel_Frequently","Research & Development",3.0,1.0,"Medical","Female",1.0,"Sales Executive","Divorced",35400.0,1.0,13.0,0.0,"24",6.0,24.0,9.0,11.0,3.0,3.0,"1","1","3"
55.0,31.0,"No","Travel_Rarely","Sales",16.0,4.0,"Marketing","Female",2.0,"Research Scientist","Divorced",28040.0,0.0,19.0,2.0,"3",0.0,2.0,2.0,2.0,3.0,3.0,"3","4","1"
56.0,33.0,"No","Travel_Frequently","Research & Development",9.0,3.0,"Life Sciences","Male",4.0,"Research Director","Married",193920.0,6.0,12.0,1.0,"12",3.0,10.0,8.0,8.0,3.0,3.0,"4","2","3"
57.0,39.0,"No","Travel_Rarely","Sales",1.0,4.0,"Life Sciences","Male",1.0,"Sales Executive","Married",196650.0,1.0,22.0,1.0,"21",6.0,21.0,11.0,10.0,3.0,4.0,"3","1","3"
58.0,43.0,"No","Travel_Frequently","Research & Development",7.0,4.0,"Medical","Male",4.0,"Research Scientist","Single",24390.0,0.0,15.0,0.0,"9",2.0,8.0,1.0,7.0,3.0,3.0,"3","4","3"
59.0,49.0,"No","Travel_Rarely","Research & Development",1.0,3.0,"Life Sciences","Male",3.0,"Manufacturing Director","Single",73140.0,7.0,22.0,0.0,"25",2.0,7.0,0.0,7.0,3.0,4.0,"3","3","3"
60.0,52.0,"Yes","Travel_Rarely","Research & Development",7.0,1.0,"Life Sciences","Female",2.0,"Research Scientist","Married",47740.0,2.0,18.0,1.0,"11",2.0,8.0,7.0,7.0,3.0,3.0,"3","2","2"
